"Combination_1","Combination_2","Combination_3","Combination_4","Combination_5","Combination_6","Combination_7","Combination_8","Combination_9","Combination_10"
84,90,96,104,110,46,60,60,80,94
92,104,142,104,122,52,52,56,64,68
122,90,98,104,110,54,52,56,82,74
90,100,96,104,110,46,58,90,80,68
106,96,104,116,110,60,54,58,64,78
110,90,96,104,110,54,68,56,64,72
106,100,96,108,110,46,52,58,70,78
82,90,136,104,110,86,52,64,64,68
82,90,96,104,110,64,52,72,68,68
82,90,134,104,110,80,94,56,64,68
90,90,106,104,110,58,60,58,80,68
100,168,102,104,116,66,52,56,96,68
98,90,98,104,110,56,52,62,64,72
82,100,102,104,110,46,82,56,64,80
116,102,96,104,110,50,54,56,76,68
128,112,96,112,110,46,52,74,64,68
106,90,102,104,110,54,72,76,64,72
124,90,96,108,110,54,52,56,68,70
92,90,124,104,118,58,66,78,64,68
116,90,108,104,110,46,52,56,64,72
82,90,108,104,130,46,70,56,64,68
108,90,96,104,128,56,52,56,64,68
82,104,116,112,110,62,72,86,64,68
112,104,122,114,110,60,52,76,64,68
90,102,128,104,110,76,64,56,64,76
120,134,104,110,110,46,68,56,64,68
116,100,96,118,110,62,60,80,64,68
98,90,96,116,110,50,52,56,64,88
128,90,96,104,110,52,52,58,64,68
86,100,100,104,110,90,84,72,64,68
98,102,164,104,110,68,60,86,64,68
94,90,96,104,130,46,52,56,64,68
82,90,116,104,110,52,56,70,64,68
86,132,100,104,134,92,52,64,64,76
82,102,122,104,110,58,60,56,64,68
84,90,120,104,110,62,70,60,72,68
112,90,96,128,110,46,54,56,76,68
82,90,100,104,114,50,62,80,64,72
92,110,96,122,110,62,52,68,64,68
94,102,116,104,110,46,68,56,74,68
82,108,96,110,118,46,52,64,64,68
118,116,116,104,110,56,54,56,64,68
82,94,112,104,110,60,62,64,64,68
108,112,100,104,110,62,86,56,64,68
102,132,96,104,110,46,76,86,74,68
104,116,96,108,110,46,52,58,64,68
94,110,108,104,110,88,68,56,64,76
82,134,96,104,110,68,74,74,64,68
118,114,96,104,118,74,82,82,66,70
106,90,96,108,110,52,52,60,64,68
82,120,124,104,120,52,52,64,64,68
88,90,96,104,110,56,52,64,64,76
132,90,96,104,110,78,52,62,64,68
124,140,96,112,114,54,54,58,64,68
136,102,140,104,110,54,88,72,64,68
82,90,96,104,114,68,88,56,64,68
184,92,110,108,110,46,72,80,64,68
82,90,96,134,136,52,52,84,64,86
82,130,102,104,110,54,72,62,64,84
88,90,96,126,110,46,52,56,64,68
100,90,104,104,110,62,52,76,64,68
92,102,96,104,110,62,52,64,66,68
130,138,96,118,140,60,82,70,64,68
90,90,120,114,110,62,56,64,96,68
116,90,96,104,110,50,52,84,64,68
90,94,108,104,114,46,58,56,66,78
82,114,106,106,124,100,52,64,104,68
102,90,96,104,126,108,52,56,64,68
114,146,100,104,116,46,60,56,84,88
82,90,96,108,110,58,102,56,64,68
136,90,128,128,110,80,68,84,64,68
82,168,96,104,110,64,104,56,64,68
82,90,116,114,110,46,84,56,64,68
108,90,130,104,110,76,74,72,64,68
82,90,112,132,110,78,52,90,70,68
82,138,98,120,126,46,52,60,64,68
112,90,124,104,110,46,82,56,64,68
96,94,96,104,110,50,52,56,64,68
106,90,96,104,114,52,58,56,64,68
82,90,96,118,110,46,68,62,64,68
90,134,100,104,110,52,52,78,64,68
102,114,96,104,110,54,66,68,74,68
122,90,96,104,128,74,76,56,78,68
82,90,100,122,110,80,66,72,74,68
108,144,96,104,110,80,56,56,64,68
136,110,148,104,122,56,52,60,64,68
102,120,96,104,110,64,52,78,78,68
116,100,100,122,110,50,66,56,64,68
138,90,96,104,110,64,62,56,64,80
110,96,108,124,110,62,64,56,64,68
102,90,96,104,110,60,76,56,64,68
100,96,96,104,130,80,52,56,82,68
96,90,96,104,124,70,82,60,64,76
118,90,96,104,110,76,56,64,64,68
82,102,112,104,118,52,54,56,64,68
112,90,112,122,110,66,52,64,70,74
110,90,96,112,110,66,72,56,64,68
90,90,132,124,110,70,70,56,64,68
102,90,136,104,110,80,64,72,64,68
88,132,126,120,110,58,52,68,64,68
98,104,96,104,120,64,52,56,64,68
134,112,96,110,110,64,90,68,64,68
84,90,108,106,110,90,58,84,64,68
132,90,96,104,110,46,52,56,64,68
98,90,106,104,110,52,56,60,64,68
82,92,104,104,116,70,66,72,64,68
100,90,114,104,110,76,78,60,64,68
114,106,108,112,110,56,68,76,64,68
110,90,128,104,110,66,74,62,96,72
116,114,148,104,110,94,60,56,64,68
82,94,96,104,110,62,64,56,64,68
84,90,108,104,116,66,84,64,64,68
104,90,96,132,110,46,80,74,78,68
110,90,100,104,110,50,52,66,66,68
120,90,130,106,110,88,60,56,64,68
138,90,96,104,110,82,70,56,82,68
86,90,96,104,140,54,52,56,64,74
134,90,96,118,110,96,62,56,64,68
122,90,116,104,110,76,76,70,64,84
98,90,96,130,118,46,64,56,82,80
82,104,112,152,110,74,54,56,64,68
88,90,100,104,134,92,52,84,64,72
96,90,96,104,110,46,60,64,68,68
82,90,104,108,110,46,88,56,70,68
100,90,96,104,110,60,92,88,64,68
104,90,108,104,110,60,78,56,64,68
82,142,120,104,110,80,80,64,68,68
126,118,124,136,110,72,52,68,64,78
